SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,GROUP_TITLE,GROUP_DESC,DEPT_CODE,DEPT_NAME,DEPT_DIVISION,ADDRESS,LOCATION,NEIGHBORHOOD,ZIPCODE,NEAREST_PARCEL_NO,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,SEGIDUSNG_XREF,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD,HAM_PAVE_POLYGON_ID
SR26039072,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2915 OBSERVATORY AV,PAXTON AV & OBSERVATORY AV - GJ2176835114,HYDE PARK,45208,4300030087,311 CALL,2026 Mar 28 12:00:00 AM,4:49 PM,,NEW,OPEN,2026 Mar 28 12:00:00 AM,4:49 PM,2026 Mar 28 12:00:00 AM,4:49 PM,48,3/30/2026,2026 Mar 31 12:00:00 AM,3,,,,,,,,,Y,0,,,"2,915",,OBSERVATORY AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2176835114,39.13698273,-84.4341463,3/28/2026,HYDE PARK,I-GJ21763511
SR26038541,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4127 FERGUS ST,"4127 FERGUS ST, CINC -",NORTHSIDE,45223,19600220093,INTERNET,2026 Mar 26 12:00:00 AM,7:10 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,10:33 AM,2026 Mar 27 12:00:00 AM,10:33 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,THURSDAY,,,Y,0,,,"4,127",,FERGUS ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,,39.16254682,-84.53671215,3/26/2026,NORTHSIDE,S-HAM07288
SR26038419,TJENKINS,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,5940 RIDGE AV,WOODFORD RD & RIDGE AV - GJ2222339994,PLEASANT RIDGE,45213,12600010084,311 CALL,2026 Mar 26 12:00:00 AM,3:18 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,9:41 AM,2026 Mar 27 12:00:00 AM,9:41 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,,,,Y,0,,,"5,940",,RIDGE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2222339994,39.18079832,-84.42729309,3/26/2026,PLEASANT RIDGE,I-GJ22213999
SR26038432,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,713 W MEHRING WY,"713 W MEHRING WY, CINC -",QUEENSGATE,45203,13700030070,INTERNET,2026 Mar 26 12:00:00 AM,3:44 PM,2026 Mar 27 12:00:00 AM,CLOSED,CLOSED,2026 Mar 27 12:00:00 AM,9:46 AM,2026 Mar 27 12:00:00 AM,9:46 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,,,,Y,0,,,713,W,MEHRING WY,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,1,2,,,39.09420045,-84.52483727,3/26/2026,QUEENSGATE,S-HAM27545
SR26038376,JWAGONER,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1537 BEECH AV,1537 BEECH AV - GJ0948633118,WEST PRICE HILL,45205,20400170047,311 CALL,2026 Mar 26 12:00:00 AM,2:09 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,9:40 AM,2026 Mar 27 12:00:00 AM,9:40 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,MONDAY,MON14,1,Y,0,,,"1,537",,BEECH AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0948633118,39.12205553,-84.57674469,3/26/2026,WEST PRICE HILL,S-HAM02392
SR26037441,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2516 RITCHIE AV,2516 RITCHIE AV - GJ2040634995,HYDE PARK,45208,4700010044,311 CALL,2026 Mar 24 12:00:00 AM,6:51 PM,,NEW,OPEN,2026 Mar 24 12:00:00 AM,6:51 PM,2026 Mar 24 12:00:00 AM,6:51 PM,48,3/26/2026,2026 Mar 27 12:00:00 AM,3,,,,,,WEDNESDAY,WED05,3,Y,0,,,"2,516",,RITCHIE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2040634995,39.13625973,-84.44992797,3/24/2026,HYDE PARK,
SR26037196,ACOTTERMAN,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3866 PAXTON AV,3866 PAXTON AV - GJ2244436145,OAKLEY,45209,00390A030003,311 CALL,2026 Mar 24 12:00:00 AM,1:44 PM,2026 Mar 24 12:00:00 AM,CLOSED,CLOSED,2026 Mar 24 12:00:00 AM,3:21 PM,2026 Mar 24 12:00:00 AM,3:21 PM,72,3/27/2026,2026 Sep 20 12:00:00 AM,180,,,,,,,,,Y,0,,,"3,866",,PAXTON AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2244436145,39.14609332,-84.42599252,3/24/2026,OAKLEY,
SR26035451,JWAGONER,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,5927 BELMONT AV,5927 BELMONT AV - GJ1097941665,COLLEGE HILL,45224,22900050049,311 CALL,2026 Mar 20 12:00:00 AM,11:28 AM,,NEW,OPEN,2026 Mar 20 12:00:00 AM,11:28 AM,2026 Mar 20 12:00:00 AM,11:28 AM,48,3/22/2026,2026 Mar 23 12:00:00 AM,3,,,,,,THURSDAY,THU24,1,Y,0,,,"5,927",,BELMONT AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1097941665,39.19864694,-84.55682552,3/20/2026,COLLEGE HILL,
SR26035484,JWAGONER,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,156 DAHLIA AV,156 DAHLIA AV - FJ9918332635,SAYLER PARK,45233,16600020076,311 CALL,2026 Mar 20 12:00:00 AM,11:51 AM,,NEW,OPEN,2026 Mar 20 12:00:00 AM,11:51 AM,2026 Mar 20 12:00:00 AM,11:51 AM,48,3/22/2026,2026 Mar 23 12:00:00 AM,3,,,,,,MONDAY,MON02,3,Y,0,,,156,,DAHLIA AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,FJ9918332635,39.12012428,-84.69596941,3/20/2026,SAYLER PARK,
SR26036429,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,6728 LE CONTE AV,LE CONTE AV & BURSAL AV - GJ2715528685,MT. WASHINGTON,45230,200070035,311 CALL,2026 Mar 23 12:00:00 AM,11:18 AM,,NEW,OPEN,2026 Mar 23 12:00:00 AM,11:18 AM,2026 Mar 23 12:00:00 AM,11:18 AM,48,3/25/2026,2026 Mar 26 12:00:00 AM,3,,,,,,,,,Y,0,Y,DOTE,"6,728",,LE CONTE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2715528685,39.07773099,-84.37403319,3/23/2026,MOUNT WASHINGTON,I-GJ27152868
SR25132282,WISAACS,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,6128 HAMILTON AV,HAMILTON AV & W NORTH BEND RD - GJ1175642172,COLLEGE HILL,45224,23300030001,311 CALL,2025 Nov 04 12:00:00 AM,8:10 AM,2026 Mar 18 12:00:00 AM,CLOSED,CLOSED,2026 Mar 18 12:00:00 AM,10:09 AM,2026 Mar 18 12:00:00 AM,10:09 AM,72,11/7/2025,2026 May 03 12:00:00 AM,180,,,,,,,,,Y,0,,,"6,128",,HAMILTON AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1175642172,39.20302432,-84.54768093,11/4/2025,COLLEGE HILL,I-GJ11754217
SR26033306,KCLAY,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4511 EASTERN AV,4511 EASTERN AV - GJ2297632663,LINWOOD,45226,1600010143,311 CALL,2026 Mar 16 12:00:00 AM,11:25 AM,,NEW,OPEN,2026 Mar 16 12:00:00 AM,11:25 AM,2026 Mar 16 12:00:00 AM,11:25 AM,48,3/18/2026,2026 Mar 19 12:00:00 AM,3,,,,,,WEDNESDAY,WED08,2,Y,0,,,"4,511",,EASTERN AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2297632663,39.11461886,-84.42098848,3/16/2026,LINWOOD,S-HAM09096
SR26030096,KCLAY,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4742 HOWARD AV,4742 HOWARD AV - GJ1216339487,NORTHSIDE,45223,02000A480018,311 CALL,2026 Mar 09 12:00:00 AM,3:31 PM,,DISPATCH,OPEN,2026 Mar 13 12:00:00 AM,10:29 AM,2026 Mar 13 12:00:00 AM,10:29 AM,48,3/11/2026,2026 Mar 12 12:00:00 AM,3,,,,,,THURSDAY,THU19,3,Y,0,,,"4,742",,HOWARD AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1216339487,39.17875445,-84.54381209,3/9/2026,NORTHSIDE,
SR26032861,ACOTTERMAN,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,400 COLUMBIA PKWY,COLUMBIA PKWY & COLUMBIA WB PKWY TO I-471 SB RAMP - GJ1593831192,DOWNTOWN,45202,8400060042,311 CALL,2026 Mar 15 12:00:00 AM,11:03 AM,2026 Mar 16 12:00:00 AM,CLOSED,CLOSED,2026 Mar 16 12:00:00 AM,11:39 AM,2026 Mar 16 12:00:00 AM,11:39 AM,72,3/18/2026,2026 Sep 11 12:00:00 AM,180,,,,,,,,,Y,0,Y,DOTE,400,,COLUMBIA PKWY,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,6,119,,GJ1593831192,39.10314127,-84.50279003,3/15/2026,DOWNTOWN,S-HAM27805
SR26031240,MOBILE,ADACALTP,"CONSTRUCTION, ALTERNATE PATH",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3113 WERK RD,"3113 WERK RD, CINC -",WESTWOOD,45211,20800600427,INTERNET,2026 Mar 11 12:00:00 AM,1:22 PM,,DISPATCH,OPEN,2026 Mar 13 12:00:00 AM,10:17 AM,2026 Mar 13 12:00:00 AM,10:17 AM,72,3/14/2026,2026 Sep 07 12:00:00 AM,180,,,,,,THURSDAY,,,Y,0,,,"3,113",,WERK RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,,39.14031594,-84.60462994,3/11/2026,WESTWOOD,
SR26032106,KCLAY,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,100 FAIRBANKS AV,FAIRBANKS AV & RIVER RD - GJ1025229381,RIVERSIDE,45204,15300010006,311 CALL,2026 Mar 13 12:00:00 AM,9:30 AM,,DISPATCH,OPEN,2026 Mar 13 12:00:00 AM,10:11 AM,2026 Mar 13 12:00:00 AM,10:11 AM,72,3/16/2026,2026 Sep 09 12:00:00 AM,180,,,,,,,,,Y,0,,,100,,FAIRBANKS AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1025229381,39.08823143,-84.56904711,3/13/2026,SEDAMSVILLE,I-GJ10252938
SR26030598,DHASSAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1001 PARADROME ST,1001 PARADROME ST - GJ1659231932,MT. ADAMS,45202,7200020163,311 CALL,2026 Mar 10 12:00:00 AM,12:23 PM,,NEW,OPEN,2026 Mar 10 12:00:00 AM,12:23 PM,2026 Mar 10 12:00:00 AM,12:23 PM,48,3/12/2026,2026 Mar 13 12:00:00 AM,3,,,,,,MONDAY,MON27,2,Y,0,,,"1,001",,PARADROME ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,6,119,,GJ1659231932,39.10964443,-84.49499799,3/10/2026,MOUNT ADAMS,S-HAM26152
SR26030350,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,7324 PADDOCK RD,"7324 PADDOCK RD, CINC -",CARTHAGE,45216,24200020057,INTERNET,2026 Mar 10 12:00:00 AM,6:48 AM,,SECURE,OPEN,2026 Mar 10 12:00:00 AM,6:48 AM,2026 Mar 10 12:00:00 AM,6:48 AM,72,3/13/2026,2026 Sep 06 12:00:00 AM,180,,,,,,TUESDAY,,,Y,0,,,"7,324",,PADDOCK RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,4,99,,,39.19582742,-84.47601857,3/10/2026,CARTHAGE,
SR26028981,MOBILE,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1332 MEIER AV,"1332 MEIER AV, CINC - GJ2186234986",HYDE PARK,45208,4300030025,INTERNET,2026 Mar 06 12:00:00 AM,4:45 PM,,NEW,OPEN,2026 Mar 09 12:00:00 AM,9:37 AM,2026 Mar 09 12:00:00 AM,9:37 AM,0,3/9/2026,2026 Mar 12 12:00:00 AM,6,,,,,,WEDNESDAY,WED12,3,N,1,,,"1,332",,MEIER AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2186234986,39.13581942,-84.43309167,3/6/2026,HYDE PARK,
SR26029893,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1301 W NORTH BEND RD,EDWOOD AV & W NORTH BEND RD - GJ1253242133,COLLEGE HILL,45224,23600010039,311 CALL,2026 Mar 09 12:00:00 AM,12:20 PM,,NEW,OPEN,2026 Mar 09 12:00:00 AM,12:20 PM,2026 Mar 09 12:00:00 AM,12:20 PM,48,3/11/2026,2026 Mar 12 12:00:00 AM,3,,,,,,,,,Y,0,,,"1,301",W,NORTH BEND RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1253242133,39.20248197,-84.53871013,3/9/2026,COLLEGE HILL,I-GJ12534213
SR26029738,KCLAY,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,221 ORCHARD ST,221 ORCHARD ST - GJ1516932136,OVER-THE-RHINE,45202,7500040113,311 CALL,2026 Mar 09 12:00:00 AM,10:07 AM,,NEW,OPEN,2026 Mar 09 12:00:00 AM,10:07 AM,2026 Mar 09 12:00:00 AM,10:07 AM,48,3/11/2026,2026 Mar 12 12:00:00 AM,3,,,,,,MONDAY,MON25,3,Y,0,,,221,,ORCHARD ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,1,2,,GJ1516932136,39.11183579,-84.51137464,3/9/2026,OTR,S-HAM32130
SR26027551,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,925 LENOX PL,"925 LENOX PL, CINC - GJ1761336849",NORTH AVONDALE - PADDOCK HILLS,45229,11000010065,INTERNET,2026 Mar 04 12:00:00 AM,11:52 AM,2026 Mar 04 12:00:00 AM,CLOSED,CLOSED,2026 Mar 04 12:00:00 AM,2:41 PM,2026 Mar 04 12:00:00 AM,2:41 PM,72,3/7/2026,2026 Aug 31 12:00:00 AM,180,,,,,,TUESDAY,TUE09,1,Y,0,,,925,,LENOX PL,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,4,99,,GJ1761336849,39.15374815,-84.48151631,3/4/2026,NORTH AVONDALE,I-GJ17633685
SR26027511,AURELIAN,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,,1538 CEDAR AV,"1538 CEDAR AV, CINC - GJ1192841706",COLLEGE HILL,45224,23300040018,CHAT,2026 Mar 04 12:00:00 AM,11:02 AM,2026 Mar 04 12:00:00 AM,CLOSED,CLOSED,2026 Mar 04 12:00:00 AM,12:16 PM,2026 Mar 04 12:00:00 AM,12:16 PM,72,3/7/2026,2026 Aug 31 12:00:00 AM,180,,,,,,FRIDAY,,,Y,0,,,"1,538",,CEDAR AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1192841706,39.19878657,-84.54582085,3/4/2026,COLLEGE HILL,S-HAM00430
SR26027553,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1049 LENOX PL,"1049 LENOX PL, CINC -",NORTH AVONDALE - PADDOCK HILLS,45229,11000020045,INTERNET,2026 Mar 04 12:00:00 AM,11:55 AM,,SECURE,OPEN,2026 Mar 05 12:00:00 AM,10:07 AM,2026 Mar 05 12:00:00 AM,10:07 AM,0,3/5/2026,2026 Sep 01 12:00:00 AM,181,,,,,,TUESDAY,,,N,1,,,"1,049",,LENOX PL,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,4,99,,,39.15381408,-84.4765271,3/4/2026,NORTH AVONDALE,S-HAM12110
SR26028338,KCLAY,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,7848 BITTEROOT LN,7848 BITTEROOT LN - GJ1297343400,COLLEGE HILL,45224,24700050029,311 CALL,2026 Mar 05 12:00:00 AM,1:58 PM,,DISPATCH,OPEN,2026 Mar 05 12:00:00 AM,3:00 PM,2026 Mar 05 12:00:00 AM,3:00 PM,48,3/7/2026,2026 Mar 08 12:00:00 AM,3,,,,,,THURSDAY,THU25,1,Y,0,,,"7,848",,BITTEROOT LN,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1297343400,39.21377527,-84.53320939,3/5/2026,COLLEGE HILL,
SR26024888,TJENKINS,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,5649 LAWNDALE PL,5649 LAWNDALE PL - GJ2133939390,PLEASANT RIDGE,45212,12100020081,311 CALL,2026 Feb 26 12:00:00 AM,11:37 AM,,NEW,OPEN,2026 Feb 26 12:00:00 AM,11:37 AM,2026 Feb 26 12:00:00 AM,11:37 AM,48,2/28/2026,2026 Mar 01 12:00:00 AM,3,,,,,,TUESDAY,TUE19,2,Y,0,,,"5,649",,LAWNDALE PL,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2133939390,39.17558811,-84.43771043,2/26/2026,PLEASANT RIDGE,
SR26025074,AURELIAN,ADACALTP,"CONSTRUCTION, ALTERNATE PATH",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1800 FAIRMOUNT AV,FAIRMOUNT AV & SEEGAR AV,NORTH FAIRMOUNT,45214,20200420282,CHAT,2026 Feb 26 12:00:00 AM,3:11 PM,2026 Feb 27 12:00:00 AM,CLOSED,CLOSED,2026 Feb 27 12:00:00 AM,11:21 AM,2026 Feb 27 12:00:00 AM,11:21 AM,0,2/26/2026,2026 Aug 25 12:00:00 AM,180,,,,,,FRIDAY,,,Y,1,,,"1,800",,FAIRMOUNT AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,,39.13008185,-84.55431923,2/26/2026,SOUTH FAIRMOUNT,I-GJ11393406
SR26025147,CCSRWEB,ADACALTP,"CONSTRUCTION, ALTERNATE PATH",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1105 E MCMILLAN ST,"1105 E MCMILLAN ST, CINC - GJ1733533701",EAST WALNUT HILLS,45206,6300030073,INTERNET,2026 Feb 26 12:00:00 AM,5:51 PM,,DISPATCH,OPEN,2026 Feb 27 12:00:00 AM,11:28 AM,2026 Feb 27 12:00:00 AM,11:28 AM,72,3/1/2026,2026 Aug 25 12:00:00 AM,180,,,,,,WEDNESDAY,,,Y,0,,,"1,105",E,MCMILLAN ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ1733533701,39.1256734,-84.48596112,2/26/2026,WALNUT HILLS,S-HAM05618
SR26019540,ACOTTERMAN,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,701 VINE ST,E 7TH ST & W 7TH ST - GJ1500031227,DOWNTOWN,45202,7700030075,311 CALL,2026 Feb 14 12:00:00 AM,5:59 PM,2026 Feb 23 12:00:00 AM,CLOSED,CLOSED,2026 Feb 23 12:00:00 AM,11:26 AM,2026 Feb 23 12:00:00 AM,11:26 AM,72,2/17/2026,2026 Aug 13 12:00:00 AM,180,,,,,,,,,Y,0,,,701,,VINE ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,6,119,,GJ1500031227,39.10369515,-84.51361627,2/14/2026,DOWNTOWN,I-GJ14993122
SR26005598,MOBILE,ADACALTP,"CONSTRUCTION, ALTERNATE PATH",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3094 VICTORIA AV,"3094 VICTORIA AV, CINC - GJ2219235750",HYDE PARK,45208,00390A060340,INTERNET,2026 Jan 14 12:00:00 AM,11:29 AM,2026 Feb 19 12:00:00 AM,CLOSED,CLOSED,2026 Feb 19 12:00:00 AM,1:01 PM,2026 Feb 19 12:00:00 AM,1:01 PM,72,1/17/2026,2026 Jul 13 12:00:00 AM,180,,,,,,WEDNESDAY,,,Y,0,,,"3,094",,VICTORIA AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2219235750,39.14261039,-84.42916984,1/14/2026,HYDE PARK,
SR26002473,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,971 WELLS ST,"971 WELLS ST, CINC - GJ1014231765",EAST PRICE HILL,45205,17500180061,INTERNET,2026 Jan 07 12:00:00 AM,10:50 AM,,DISPATCH,OPEN,2026 Feb 19 12:00:00 AM,11:58 AM,2026 Feb 19 12:00:00 AM,11:58 AM,0,2/19/2026,2026 Aug 18 12:00:00 AM,223,,,,,,MONDAY,MON03,3,Y,1,,,971,,WELLS ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1014231765,39.10972335,-84.56958061,1/7/2026,EAST PRICE HILL,
